営業,法人営業,法人・企業向けに営業を行うお仕事です。
営業,個人営業,一般消費者、個人向けに営業を行うお仕事です。
営業,ルート営業・ラウンダー,既に取引を行っている顧客に対して新たなサービスの提案やフォローを行うお仕事です。
営業,テレフォンアポインター（テレアポ）,顧客に対して電話でサービスや商品の案内を行い、アポイントを取るお仕事です。
営業,営業アシスタント,普段外に出ていてデスクワークが行えない営業に代わって、見積や提案資料の作成などを行い、営業をバックアップするお仕事です。
営業,プランナー・アドバイザー・コンサルタント,顧客の問題解決や利益向上のために、様々なプランを企画・提案するお仕事です。
営業,派遣コーディネーター,派遣スタッフの管理、業務の紹介、手配を行うお仕事です。
営業,営業幹部候補,営業部門のスタッフを管理するお仕事です。
営業,営業その他,上記以外の営業のお仕事です。
事務・オフィスワーク,一般事務,資料作成や職場内での電話・メール応対などの一般的な事務のお仕事です。
事務・オフィスワーク,経理事務,出入金管理、帳簿付け、伝票整理などの事務作業を行うお仕事です。
事務・オフィスワーク,営業事務,商品の受発注や社内外向けの資料の作成、電話・メール応対など、営業部署における営業担当者のサポートを行うお仕事です。
事務・オフィスワーク,受付・秘書,法人や企業での受付・秘書のお仕事です。
事務・オフィスワーク,伝票整理・データ入力,パソコンでデータを入力する事務のお仕事です。
事務・オフィスワーク,電話対応・コールセンター,利用者からの問合せ窓口となる電話応対センターでのお仕事です。
事務・オフィスワーク,人事・総務・法務,人事・総務・法務に関連するお仕事です。
事務・オフィスワーク,企画・マーケティング・広報,市場調査を行い、販売促進のためのプロモーションや新たなサービス・商品の企画を行うお仕事です。
事務・オフィスワーク,保険・金融関連,店舗来店時の受付、契約書類の作成など保険・金融に関するお仕事です。
事務・オフィスワーク,事務・オフィスワークその他,上記以外の事務・オフィスワークのお仕事です。
販売,アパレル・靴,アパレルや靴を取り扱うショップでの接客・販売のお仕事です。
販売,コンビニ,コンビニエンスストアでのレジ、品出しなどのお仕事です。
販売,スーパー・デパート,スーパー、デパートでの接客・販売のお仕事です。
販売,家電量販店,家電量販店での接客・販売のお仕事です。
販売,携帯ショップ・携帯販売,携帯電話の専売店、量販店、併売店での接客・販売のお仕事です。
販売,インテリア・雑貨販売,インテリア、雑貨を扱う店舗での接客・販売のお仕事です。
